frame,iou,dice,gt_px,pred_px,latency_s
00050,0.001488171601580541,0.002971920475507276,1720,17796,0.4198389259981923
00051,0.000781996698236163,0.0015627713144643167,2680,100982,0.42590233602095395
00052,0.0005354224201093389,0.0010702717927052528,3103,32402,0.43144862400367856
00053,0.0,0.0,356,0,0.4051751400111243
00054,0.0,0.0,57,71759,0.4191643359954469
00055,0.0005557871335278589,0.0011109568115539507,826,6375,0.4112721119890921
00056,0.014466438458103885,0.0285202898975969,3940,98303,0.43346095096785575
00057,0.0,0.0,9057,146,0.4108323240070604
00058,0.0,0.0,1361,0,0.40529626002535224
00059,0.0022007887390514454,0.004391911808052821,2177,65675,0.4327873890288174
00060,0.0,0.0,486,2382,0.4171337679727003
00061,0.001023292076795634,0.0020444920410845543,532,20011,0.42742115299915895
00062,0.001527570789865872,0.003050481752910978,3571,23310,0.4177702440065332
00063,0.016941101963267893,0.03331776428460221,8582,29956,0.4211322229821235
00064,0.006096498867793067,0.012119113573407203,2112,3664,0.40782306698383763
00065,0.004804506295559973,0.009563066776586974,4600,19660,0.41493035899475217
00066,0.0,0.0,3318,5508,0.4115996570326388
00067,0.0,0.0,825,0,0.3989624970126897
00068,0.0,0.0,233,139350,0.4224861469701864
00069,0.0,0.0,1142,0,0.41150740801822394
00070,0.0003865093907466789,0.0007727201179113662,143,69740,0.44399550498928875
00071,0.0,0.0,2978,6660,0.4180137700168416
00072,0.000916030534351145,0.0018303843807199512,233,58771,0.4325342340162024
00073,0.05288308378464479,0.10045385779122541,777,2528,0.4103706209571101
00074,0.0,0.0,2663,71,0.4103043570066802
00075,0.008373974069228024,0.0166088659258735,2868,39519,0.41323134303092957
00076,0.0,0.0,437,63160,0.4180875919992104
00077,0.0,0.0,3175,85899,0.43029782199300826
00078,0.01627659796177813,0.03203182675744402,4035,93493,0.43538923701271415
00079,0.0003103106687194911,0.0006204288117595123,42,83771,0.45001194695942104
00080,0.0,0.0,2121,1029,0.41313618002459407
00081,0.0,0.0,104,0,0.4031285989913158
00082,0.0,0.0,791,0,0.4014274360379204
00083,0.0,0.0,1699,2717,0.40632482402725145
00084,0.0,0.0,750,0,0.4159097449737601
00085,0.0,0.0,353,0,0.4055114280199632
00086,0.007074279939363315,0.014049172102358254,2702,45130,0.41966141801094636
00087,0.009233540393582816,0.01829812431715637,1911,117992,0.4234971919795498
00088,0.0,0.0,325,0,0.40868211997440085
00089,4.344614849893557e-05,8.688852202624034e-05,72,92000,0.43240893800975755
00090,0.0007499210609409536,0.0014987182015381581,603,24752,0.4284086739644408
00091,0.0010117125179968092,0.002021379980563654,76,51374,0.42975733999628574
00092,0.0,0.0,1814,7771,0.4104486830183305
00093,0.00704390702042733,0.013989274889251575,1431,2858,0.4172308300039731
00094,0.0,0.0,975,44,0.413251742022112
00095,0.0018679266014723656,0.003728887914016232,930,62896,0.4252270560245961
00096,0.0018088214832336163,0.003611111111111111,3619,25181,0.4283352159545757
00097,0.0,0.0,480,0,0.40724724798928946
00098,0.0,0.0,20,0,0.4184623600449413
00099,0.0005130585619701448,0.0010255909357296347,9665,72239,0.4372222229721956
00100,0.0013474318861762624,0.002691237513114081,2765,41081,0.413803915027529
00102,0.01348664303622374,0.026614347863174955,12465,10981,0.41635321400826797
00103,0.002568408574533241,0.005123657503202286,4635,5514,0.41192997799953446
00104,0.0,0.0,350,24932,0.4207224380224943
00105,0.0008448941274642745,0.0016883617679857427,4440,91511,0.4321006339741871
00106,0.0007534713501489002,0.0015058081170228022,253,111315,0.4299117720220238
00107,0.0,0.0,4037,9006,0.4141654249979183
00108,0.0015148454857604524,0.0030251083997176564,675,78661,0.4342398219741881
00109,0.00011280740016545086,0.000225589352182577,3578,23019,0.42636699200375006
00110,0.017540654120226568,0.03447656670856527,10608,39513,0.4219872870016843
00111,0.007827560021029266,0.015533530400510056,4257,12996,0.42057846300303936
00112,0.003980148395656233,0.007928739232576351,900,19532,0.430918088008184
00114,0.0,0.0,1023,419,0.40377182100201026
00115,0.0,0.0,1024,2855,0.4115147400298156
00116,0.0003968044018834982,0.0007932940212073935,178,113273,0.4343340349732898
00117,0.007961620904358478,0.01579746835443038,3698,95052,0.4371506969910115
00118,0.004639858594785683,0.009236859467780955,9418,17864,0.5039243060164154
00119,0.0,0.0,2119,0,0.4425046610413119
00120,0.0,0.0,2615,1902,0.4279428669833578
00121,0.0001706902565548769,0.000341322252726868,23,134747,0.4269971750327386
00122,0.0031453543394755886,0.0062709842115486,2011,34028,0.42465448001166806
00123,0.007403471893371525,0.014698126619430877,1446,85776,0.4315057339845225
