frame,iou,dice,gt_px,pred_px,latency_s
00529,0.0,0.0,10437,0,0.14789043902419508
00530,0.0,0.0,899,0,0.0037825459730811417
00531,1.0,1.0,0,0,0.0037846009945496917
00532,0.0,0.0,1666,0,0.0033634710125625134
00533,0.0,0.0,3502,0,0.0036148360231891274
00534,0.0,0.0,8756,0,0.0034615370095707476
00535,0.0,0.0,3457,0,0.0035256760311312973
00536,0.0,0.0,1048,0,0.003552992013283074
00537,0.0,0.0,792,0,0.003514600044582039
00538,0.0,0.0,22,0,0.003361948998644948
00539,0.0,0.0,941,0,0.0032192670041695237
00540,0.0,0.0,3076,0,0.0034264010027982295
00541,0.0,0.0,2325,0,0.0032514999620616436
00542,0.0,0.0,871,0,0.003204098029527813
00543,0.0,0.0,748,0,0.003227508976124227
00544,0.0,0.0,744,0,0.0033330279984511435
00545,0.0,0.0,474,0,0.0033985680202022195
00546,0.0,0.0,514,0,0.0031743970466777682
00547,0.0,0.0,375,0,0.003278641030192375
00548,0.0,0.0,801,0,0.0032629769993945956
00549,0.0,0.0,2453,0,0.0032384400255978107
00550,0.0,0.0,5295,0,0.003338896029163152
00551,0.0,0.0,303,0,0.0033380279783159494
00552,0.0,0.0,2167,0,0.003166677022818476
00553,0.0,0.0,769,0,0.0033089389908127487
00554,0.0,0.0,1994,0,0.0032578259706497192
00555,0.0,0.0,3471,0,0.0032214479870162904
00556,0.0,0.0,882,0,0.0032677320414222777
00557,0.0,0.0,35,0,0.003263195976614952
00558,0.0,0.0,2134,0,0.0032990589970722795
00559,0.0,0.0,237,0,0.003203580970875919
00560,0.0,0.0,630,0,0.003201575018465519
00561,0.0,0.0,534,0,0.0031867409707047045
00562,1.0,1.0,0,0,0.0032218790147453547
00563,0.0,0.0,2193,0,0.0031891950056888163
00564,0.0,0.0,143,0,0.0032756529981270432
00565,0.0,0.0,1595,0,0.0031643349793739617
00566,0.0,0.0,12982,0,0.003308938001282513
00567,0.0,0.0,180,0,0.0034009729861281812
00568,0.0,0.0,4156,0,0.0031976390164345503
00569,0.0,0.0,1016,0,0.0031660679960623384
00570,0.0,0.0,220,0,0.0032504359842278063
00571,0.0,0.0,119,0,0.003177882987074554
00572,0.0,0.0,2103,0,0.0031953469733707607
00573,0.0,0.0,1964,0,0.003728338982909918
00574,0.0,0.0,614,0,0.003419461951125413
00575,1.0,1.0,0,0,0.003268242988269776
00576,0.0,0.0,1167,0,0.0032053550239652395
00577,0.0,0.0,499,0,0.003138951025903225
00578,0.0,0.0,3476,0,0.0033702400396578014
00579,0.0,0.0,250,0,0.0031874390551820397
00580,0.0,0.0,2173,0,0.0031994960154406726
00581,0.0,0.0,467,0,0.003278221993241459
00582,0.0,0.0,22,0,0.003239229030441493
00583,0.0,0.0,1728,0,0.0031083180219866335
00584,0.0,0.0,1152,0,0.003125773975625634
00585,0.0,0.0,1763,0,0.003196856996510178
00586,0.0,0.0,5775,0,0.0031304770382121205
00587,0.0,0.0,3299,0,0.0031935779843479395
00588,0.0,0.0,262,0,0.003277954994700849
00589,0.0,0.0,2858,0,0.0034780529676936567
00590,0.0,0.0,122,0,0.0036207629600539804
00591,0.0,0.0,3891,0,0.003250533016398549
00592,0.0,0.0,12316,0,0.003205829008948058
00593,0.0,0.0,218,0,0.0032576409867033362
00594,0.0,0.0,2283,0,0.0032040229998528957
00595,0.0,0.0,29,0,0.0035817919997498393
00596,0.0,0.0,739,0,0.0031243659905157983
00597,0.0,0.0,553,0,0.0031975600286386907
00598,0.0,0.0,7445,0,0.0031828810460865498
00599,0.0,0.0,1069,0,0.003124261973425746
00600,0.0,0.0,3008,0,0.00321996898856014
00601,0.0,0.0,689,0,0.003148591029457748
00602,0.0,0.0,463,0,0.003197641985025257
00603,0.0,0.0,1040,0,0.0031473059789277613
00604,0.0,0.0,98,0,0.0031758190016262233
00605,0.0,0.0,535,0,0.003149055002722889
00606,0.0,0.0,4936,0,0.0032523649861104786
00607,0.0,0.0,1874,0,0.003297482035122812
00608,0.0,0.0,1290,0,0.003164258028846234
00609,0.0,0.0,4220,0,0.0031996849575079978
00610,0.0,0.0,4156,0,0.0031974849989637733
00611,0.0,0.0,3885,0,0.0030972009990364313
00612,0.0,0.0,4140,0,0.0032261349842883646
00613,0.0,0.0,22,0,0.0033140640007331967
00614,0.0,0.0,20,0,0.0033390249591320753
00615,0.0,0.0,2050,0,0.003313674998935312
00616,0.0,0.0,3116,0,0.003232407965697348
00617,0.0,0.0,1837,0,0.003372696985024959
00618,0.0,0.0,702,0,0.0033068740158341825
00619,0.0,0.0,1965,0,0.003200643986929208
00620,0.0,0.0,599,0,0.0031673600315116346
00621,0.0,0.0,2270,0,0.0032420509960502386
00622,0.0,0.0,1905,0,0.0031630200101062655
