method,threshold_c,mean_iou,mean_dice,n
color,120.0,0.00393189367944037,0.007571529524847479,616
kass,120.0,0.0012703344445989778,0.0024909322112441536,616
gac,120.0,0.0038976195381881435,0.00763865452072624,616
color,150.0,0.0035956124772345945,0.006838134615201615,592
kass,150.0,0.0010074325813131512,0.001978096137819328,592
gac,150.0,0.0032750996264115533,0.0064244265834678795,592
color,200.0,0.003192666758538323,0.005881313638890189,507
kass,200.0,0.0004972635889194981,0.0009721010443934777,507
gac,200.0,0.0024332584628416797,0.004778500222357839,507
