frame,iou,dice,gt_px,pred_px,latency_s
00033,0.0,0.0,135,0,0.3999332610401325
00034,0.20618556701030927,0.3418803418803419,65,52,0.3927823909907602
00035,0.4758719541328237,0.6448688896082875,1572,1517,0.4111098099965602
00036,0.6470896304055065,0.7857369975017033,10692,11323,0.4110624640015885
00037,0.41692829335677506,0.5884959673845609,5052,6231,0.40126013197004795
00038,0.4579162031887282,0.6281790437436419,1804,2128,0.4043614230467938
00039,0.49793672627235214,0.6648301193755739,1748,2608,0.4056975260027684
00040,0.4668595476065229,0.6365429442352519,2838,2739,0.40681657299865037
00041,0.19753086419753085,0.32989690721649484,1189,654,0.4136121599585749
00042,0.5372501941953252,0.698975607515274,8647,13122,0.4097019509645179
00043,0.40921919096895576,0.5807743658210948,982,516,0.4018754569697194
00045,0.33814432989690724,0.5053929121725732,355,294,0.4011825899942778
00046,0.0,0.0,284,0,0.3998255080077797
00047,0.6764150943396227,0.806978052898143,3075,4033,0.40740329498657957
00048,0.6053781512605042,0.7541876046901173,1984,2792,0.3942045840085484
00049,0.48533724340175954,0.6535044422507403,866,1160,0.4069315349915996
00050,0.5363062352012629,0.6981762137169278,1720,2173,0.41265506600029767
00051,0.6452521115945739,0.7843808338518979,2680,3748,0.4044172290014103
00052,0.6254158349966733,0.7695456406058125,3103,4226,0.41232598398346454
00053,0.0,0.0,356,0,0.39292325801216066
00054,0.0,0.0,57,0,0.4066544129746035
00055,0.44972577696526506,0.6204287515762925,826,760,0.4002685029990971
00056,0.633186095640484,0.7753998118532456,3940,4564,0.3863131699617952
00057,0.45156530664613803,0.622177045123083,9057,13570,0.4185923529439606
00058,0.2959341224909933,0.4567116759332804,1361,1157,0.3922028180095367
00059,0.5284938941655359,0.6915224145583666,2177,2329,0.39537570101674646
00060,0.5266903914590747,0.6899766899766899,486,372,0.40836041601141915
00061,0.2824207492795389,0.4404494382022472,532,358,0.4075519390171394
00062,0.6101503759398497,0.7578799906607518,3571,4995,0.39964124001562595
00063,0.5062034739454094,0.6721581548599671,8582,13270,0.40320307604270056
00064,0.46455938697318006,0.6344015696533682,2112,2475,0.41174558899365366
00065,0.4427814569536424,0.6137886716239787,4600,6293,0.3997042899718508
00066,0.4875444839857651,0.6555023923444976,3318,3788,0.4097543410025537
00067,0.11294117647058824,0.2029598308668076,825,121,0.41145301196957007
00068,0.09057971014492754,0.16611295681063123,233,68,0.41131510998820886
